Biceps curl;Bras;Un exercice classique de musculation ayant pour cible le muscle biceps brachial. 
triceps extension;Bras;Un mouvement de musculation qui cible les triceps.
pull up;Dos;Exercice comme objectif principal le développement des muscles du dos et des bras. 
bench press;Pect;Exercice qui développe principalement les pectoraux et les triceps.
dumbbell press shoulder;Epaule;Mouvement de musculation de base qui fait travailler les épaules.
la planche;Abdos;Un exercice de gainage.
redressement assis;Abdos;Exercice qui solicite les abdos.
squat;Jambes;Exercice de musculation ciblant les muscles de la cuisse et les fessiers. 
la chaise;Jambes;Un exercice de gainage.
leg press;Jambes;Un mouvement de musculation à machine qui fait travailler les cuisses.
